"gene","nint","nsig","z","npos","nneg","posfrac","enriched","canonical","oncogenes","tsgenes","role","type"
"A1CF",42,1,-0.636544780035994,1,0,1,0,1,1,0,"OG","BCT"
"A2ML1",104,16,3.53929676936275,9,7,0.5625,1,0,0,0,"unknown","BCT"
"ABCA10",5,0,-0.560411876133158,0,0,NA,0,0,0,0,"unknown","BCT"
"ABCA13",9,1,0.739145526272281,1,0,1,0,0,0,0,"unknown","BCT"
"ABCA7",16,0,-1.01830233976576,0,0,NA,0,0,0,0,"unknown","BCT"
"ABCB1",60,2,-0.461357400170416,2,0,1,0,0,0,0,"unknown","BCT"
"ABCB5",16,0,-0.779416393743675,0,0,NA,0,0,0,0,"unknown","BCT"
"ABCC3",24,7,4.01762686154621,3,4,0.428571428571429,1,0,0,0,"unknown","BCT"
"ABCC5",39,2,-0.131484633994868,1,1,0.5,0,0,0,0,"unknown","BCT"
"ABCC9",26,9,5.85105890634848,5,4,0.555555555555556,1,0,0,0,"unknown","BCT"
"ABCD1",56,3,0.233800292316149,2,1,0.666666666666667,0,0,0,0,"unknown","BCT"
"ABCF1",179,22,0.813405247832119,21,1,0.954545454545455,0,0,0,0,"unknown","BCT"
"ABCF2",137,3,-1.10190826813919,2,1,0.666666666666667,0,0,0,0,"unknown","BCT"
"ABCG2",40,0,-1.42040380295217,0,0,NA,0,0,0,0,"unknown","BCT"
"ABCG8",32,7,3.62420803958186,3,4,0.428571428571429,1,0,0,0,"unknown","BCT"
"ABHD15",24,1,-0.501526034525101,0,1,0,0,0,0,0,"unknown","BCT"
"ABL1",229,22,1.27493711994552,10,12,0.454545454545455,0,1,1,0,"OG","BCT"
"ABL2",127,26,5.19853958758935,16,10,0.615384615384615,1,1,1,0,"OG","BCT"
"ABLIM2",30,1,-0.60992349550778,0,1,0,0,0,0,0,"unknown","BCT"
"ACAN",39,1,-0.368559034679039,1,0,1,0,0,0,0,"unknown","BCT"
"ACD",109,0,-1.94088547416922,0,0,NA,0,0,0,0,"unknown","BCT"
"ACE",29,0,-1.27125802869287,0,0,NA,0,0,0,0,"unknown","BCT"
"ACO1",47,3,-0.0292124380319828,2,1,0.666666666666667,0,0,0,0,"unknown","BCT"
"ACOXL",5,0,-0.583648148536704,0,0,NA,0,0,0,0,"unknown","BCT"
"ACSL6",11,0,-0.726868219358199,0,0,NA,0,0,0,0,"unknown","BCT"
"ACSM1",9,0,-0.741442376134988,0,0,NA,0,0,0,0,"unknown","BCT"
"ACSM2A",2,0,-0.33166247903554,0,0,NA,0,0,0,0,"unknown","BCT"
"ACSM4",2,0,-0.318752338713168,0,0,NA,0,0,0,0,"unknown","BCT"
"ACTB",985,108,1.68093734769864,32,76,0.296296296296296,0,0,0,0,"unknown","BCT"
"ACTG1",475,21,-0.933827416049371,13,8,0.619047619047619,0,0,0,0,"unknown","BCT"
"ACTL6B",113,13,1.29140161096592,12,1,0.923076923076923,0,0,0,0,"unknown","BCT"
"ACTL7B",20,1,-0.234243348600742,1,0,1,0,0,0,0,"unknown","BCT"
"ACVR1",122,6,-0.425806106145751,4,2,0.666666666666667,0,1,1,0,"OG","BCT"
"ACVR1B",112,2,-1.44272882599021,1,1,0.5,0,1,0,1,"TSG","BCT"
"ACVR2A",109,5,-0.2127222561709,1,4,0.2,0,1,0,1,"TSG","BCT"
"ACVR2B",124,7,0.010025857522822,1,6,0.142857142857143,0,0,0,0,"unknown","BCT"
"ADAM10",183,7,-0.229793144679309,3,4,0.428571428571429,0,0,0,0,"unknown","BCT"
