"gene","nint","nsig","z","npos","nneg","posfrac","enriched","posstrict","pos","negstrict","neg","allstrict","all","SA","SApos","SAneg","type","DAsign","SAsign","driver","canonical","oncogene","tsgene"
"A1BG",11,0,-1.04496097404323,0,0,0,0,0,0,0,1,0,1,0,0,0,"BCT","negative","none",0,0,0,0
"A1CF",12,0,-0.800396267376886,0,0,0,0,0,1,1,2,1,3,1,0,1,"BCT","negative","negative",1,1,1,0
"A2M",35,3,0.656764018020537,0,3,0,0,0,4,1,4,1,8,1,0,1,"BCT","negative","negative",0,0,0,0
"A2ML1",13,1,0.273447278094482,1,0,1,0,2,2,0,2,2,4,2,2,0,"BCT","positive","positive",1,0,0,0
"A4GALT",3,0,-0.469980302359207,0,0,0,0,0,6,1,5,1,11,1,0,1,"BCT","negative","negative",0,0,0,0
"A4GNT",3,0,-0.475863556877079,0,0,0,0,0,1,0,0,0,1,0,0,0,"BCT","negative","none",0,0,0,0
"AAAS",42,5,1.48050292653868,5,0,1,0,0,6,1,2,1,8,1,0,1,"BCT","positive","negative",0,0,0,0
"AACS",3,0,-0.469980302359207,0,0,0,0,2,8,0,4,2,12,2,2,0,"BCT","negative","positive",0,0,0,0
"AADAT",2,0,-0.293405788153095,0,0,0,0,0,2,0,5,0,7,0,0,0,"BCT","negative","none",0,0,0,0
"AAGAB",5,0,-0.596992462263972,0,0,0,0,0,5,1,2,1,7,1,0,1,"BCT","negative","negative",0,0,0,0
"AAK1",21,3,1.4702309163422,0,3,0,0,2,6,0,3,2,9,2,2,0,"BCT","negative","positive",0,0,0,0
"AAMP",14,1,0.27990234679439,1,0,1,0,2,8,1,1,3,9,3,2,1,"BCT","positive","both",0,0,0,0
"AANAT",3,1,1.77059312096258,1,0,1,0,0,0,0,0,0,0,0,0,0,"BCT","positive","none",0,0,0,0
"AARS2",23,2,0.312909072914302,2,0,1,0,1,6,0,3,1,9,1,1,0,"BCT","positive","positive",0,0,0,0
"AARSD1",44,0,-1.200196581972,0,0,0,0,0,5,1,4,1,9,1,0,1,"BCT","negative","negative",0,0,0,0
"AASDH",3,0,-0.293405788153095,0,0,0,0,0,4,1,1,1,5,1,0,1,"BCT","negative","negative",0,0,0,0
"AASDHPPT",14,0,-0.881962098311001,0,0,0,0,1,4,1,2,2,6,2,1,1,"BCT","negative","both",0,0,0,0
"AASS",8,1,1.03449503503053,0,1,0,0,0,1,1,4,1,5,1,0,1,"BCT","negative","negative",0,0,0,0
"AATF",79,18,4.46034775815305,18,0,1,1,2,8,0,3,2,11,2,2,0,"BCT","positive","positive",0,0,0,0
"AATK",36,2,-0.138808647400448,2,0,1,0,0,3,0,5,0,8,0,0,0,"BCT","positive","none",0,0,0,0
"ABAT",2,0,-0.33166247903554,0,0,0,0,0,1,4,1,4,2,4,0,2,"BCT","negative","negative",0,0,0,0
"ABCA1",15,0,-0.927711889893274,0,0,0,0,2,4,1,2,3,6,3,2,1,"BCT","negative","both",0,0,0,0
"ABCA12",4,1,1.5,0,1,0,0,2,5,0,2,2,7,2,2,0,"BCT","negative","positive",0,0,0,0
"ABCA13",3,0,-0.293405788153095,0,0,0,0,0,0,0,3,0,3,0,0,0,"BCT","negative","none",1,0,0,0
"ABCA2",15,6,4.31271906333786,0,6,0,1,0,4,1,4,1,8,1,0,1,"BCT","negative","negative",0,0,0,0
"ABCA3",4,1,1.82307692307692,0,1,0,0,0,5,0,6,0,11,0,0,0,"BCT","negative","none",0,0,0,0
"ABCA6",2,0,-0.466172793254531,0,0,0,0,1,2,0,3,1,5,1,1,0,"BCT","negative","positive",0,0,0,0
"ABCA7",4,0,-0.521706030332839,0,0,0,0,1,7,0,4,1,11,1,1,0,"BCT","negative","positive",1,0,0,0
"ABCA9",2,0,-0.405148216977697,0,0,0,0,0,2,1,1,1,3,1,0,1,"BCT","negative","negative",0,0,0,0
"ABCB1",5,0,-0.608527192088777,0,0,0,0,0,2,1,2,1,4,1,0,1,"BCT","negative","negative",1,0,0,0
"ABCB10",7,0,-0.682783061772636,0,0,0,0,0,5,2,3,2,8,2,0,2,"BCT","negative","negative",0,0,0,0
