driver,neighbour
A1CF,APOB
A1CF,APOBEC1
A1CF,APOBEC2
A1CF,APOBEC3A
A1CF,APOBEC3B
A1CF,APOBEC3C
A1CF,APOBEC3F
A1CF,APOBEC3G
A1CF,APOBEC3H
A1CF,APOBEC4
A1CF,CBLL1
A1CF,CELF2
A1CF,DOK3
A1CF,ECM1
A1CF,EIF4G1
A1CF,FHL2
A1CF,FHL3
A1CF,HNRNPAB
A1CF,HSPB2
A1CF,INS
A1CF,KHSRP
A1CF,KLHDC7B
A1CF,KRT31
A1CF,KRT34
A1CF,METTL14
A1CF,METTL3
A1CF,OIP5
A1CF,PLEKHG4
A1CF,POGZ
A1CF,PSMG2
A1CF,PSMG3
A1CF,RAF1
A1CF,RBM15
A1CF,RBM15B
A1CF,RBM47
A1CF,REL
A1CF,RIMBP3C
A1CF,SYNCRIP
A1CF,TNPO2
A1CF,TRAF1
A1CF,WTAP
A1CF,ZC3H13
A1CF,ZRANB1
A2ML1,ACAD9
A2ML1,AGPAT1
A2ML1,APTX
A2ML1,ARMC1
A2ML1,ASCL1
A2ML1,BAK1
A2ML1,BEX5
A2ML1,C18orf21
A2ML1,C1orf35
A2ML1,CCNYL1
A2ML1,CCR1
A2ML1,CDK15
A2ML1,CEP152
A2ML1,CORO1C
A2ML1,DOT1L
A2ML1,DUSP21
A2ML1,DYNLL2
A2ML1,ERCC3
A2ML1,ESR2
A2ML1,FAM153B
A2ML1,FBXO44
A2ML1,FCRL5
A2ML1,FGFRL1
A2ML1,FMNL2
A2ML1,FNDC5
A2ML1,FOXD4
A2ML1,FOXH1
A2ML1,FRMD1
A2ML1,FSTL1
A2ML1,FTH1
A2ML1,GABPA
A2ML1,GMCL1
A2ML1,GOT1
A2ML1,GPN1
A2ML1,GPR148
A2ML1,GRK4
A2ML1,GSTK1
A2ML1,HCN1
A2ML1,HNRNPA1
A2ML1,HSF2
A2ML1,HSPA8
A2ML1,INSC
A2ML1,KLHL11
A2ML1,L2HGDH
A2ML1,LOXL2
A2ML1,LRRC10
A2ML1,MBD4
A2ML1,MBNL1
A2ML1,MOGAT3
A2ML1,MRM1
A2ML1,MYC
A2ML1,NDST2
A2ML1,NFAM1
A2ML1,NHLRC2
A2ML1,NINL
A2ML1,NPPA
A2ML1,NRSN1
A2ML1,NT5C1A
A2ML1,NUDT3
A2ML1,OR2A4
A2ML1,P2RX6
A2ML1,PABPN1L
A2ML1,PCP4
A2ML1,PDE4DIP
A2ML1,PHF11
A2ML1,PI4KA
A2ML1,PI4KAP1
A2ML1,PIGT
A2ML1,PIM1
A2ML1,PINK1
A2ML1,PLAC8L1
A2ML1,POLDIP3
A2ML1,PPP2R2B
A2ML1,RASSF9
A2ML1,RHBDD1
A2ML1,RNF115
A2ML1,RNF8
