"driver","neighbour"
"A1CF","METTL14"
"A2ML1","L2HGDH"
"A2ML1","MOGAT3"
"A2ML1","STX17"
"ABCA13","FANCD2"
"ABCA7","HTR3A"
"ABCA7","TTYH1"
"ABCB1","CLPB"
"ABCB1","PRKCA"
"ABCB1","TP53"
"ABCC3","VCP"
"ABCC3","VDAC1"
"ABCC5","RAC3"
"ABCC5","RHOQ"
"ABCC9","ABCB8"
"ABCD1","ATP2A1"
"ABCD1","ATP2B2"
"ABCD1","BSG"
"ABCD1","CMTM5"
"ABCD1","CMTM8"
"ABCD1","GPR12"
"ABCD1","MAP1B"
"ABCD1","PTP4A3"
"ABCD1","S100A2"
"ABCD1","TRIM67"
"ABCD1","TTYH1"
"ABCD1","VAPA"
"ABCG8","ABCA2"
"ABCG8","ATP1A1"
"ABCG8","ATP2A2"
"ABL1","ABI1"
"ABL1","ACAP2"
"ABL1","AIRE"
"ABL1","APP"
"ABL1","ASAP1"
"ABL1","BECN1"
"ABL1","CAP1"
"ABL1","CAP2"
"ABL1","CAST"
"ABL1","CBLC"
"ABL1","CCKBR"
"ABL1","CD2AP"
"ABL1","CDH2"
"ABL1","CDKL5"
"ABL1","CDKN2A"
"ABL1","CHRD"
"ABL1","CHRNB1"
"ABL1","CRKL"
"ABL1","CTNNA1"
"ABL1","CTNNA2"
"ABL1","CUL4B"
"ABL1","DGKA"
"ABL1","DNM1"
"ABL1","DNM3"
"ABL1","EEF1G"
"ABL1","EMD"
"ABL1","EPHA3"
"ABL1","EPHA5"
"ABL1","ERBB3"
"ABL1","ESR1"
"ABL1","FLNA"
"ABL1","FN1"
"ABL1","FUS"
"ABL1","FYN"
"ABL1","GRB10"
"ABL1","GSX2"
"ABL1","IFNA13"
"ABL1","KAT5"
"ABL1","KRT31"
"ABL1","LRBA"
"ABL1","MAP3K1"
"ABL1","MED14"
"ABL1","MIA2"
"ABL1","MUC1"
"ABL1","NCKIPSD"
"ABL1","NCOA3"
"ABL1","NFKBIA"
"ABL1","PDGFB"
"ABL1","PDGFRB"
"ABL1","PLEKHG2"
"ABL1","PRICKLE3"
"ABL1","PRKD1"
"ABL1","PTPN11"
"ABL1","PTPN12"
"ABL1","PTPN13"
"ABL1","PXN"
"ABL1","PYCARD"
"ABL1","RAN"
"ABL1","RAPGEF1"
"ABL1","RELN"
"ABL1","RIMS1"
"ABL1","RIN1"
"ABL1","SCARF2"
"ABL1","SFN"
"ABL1","SH3BP1"
"ABL1","SLIT2"
"ABL1","SP1"
"ABL1","SPRR2A"
"ABL1","STAT6"
"ABL1","STON2"
"ABL1","STXBP1"
"ABL1","TOP1"
"ABL1","TP63"
"ABL1","WASF3"
"ABL1","WASL"
"ABL1","YWHAH"
"ACAN","APP"
"ACAN","ITGB1"
"ACAN","PTPRF"
"ACD","AFAP1L2"
"ACD","ENSA"
"ACD","MDC1"
"ACE","CSF3"
"ACE","EWSR1"
"ACTB","ADD1"
"ACTB","ALDH7A1"
"ACTB","CCND2"
"ACTB","IL1RL2"
"ACTB","LIMS2"
"ACTB","LSP1"
"ACTB","NCKAP1L"
"ACTB","NEXN"
"ACTB","NPB"
"ACTB","PDIA2"
"ACTB","PRKCB"
"ACTB","PXK"
"ACTB","RAD51"
"ACTB","RECQL4"
"ACTB","RHOA"
"ACTB","SAMHD1"
"ACTB","SCARNA22"
"ACTB","STAT6"
"ACTB","TK1"
"ACTB","TRIM21"
"ACTB","UBASH3A"
"ACTB","VCAM1"
"ACTB","WDR76"
"ACTB","WIPF3"
"ACTB","ZNF695"
"ACTG1","ACTL6A"
"ACTG1","AICDA"
"ACTG1","BIRC3"
"ACTG1","ERRFI1"
"ACTG1","FKBP5"
"ACTG1","FLII"
"ACTG1","MYO5A"
"ACTG1","NFKBIA"
"ACTG1","NR3C1"
"ACTG1","PTPRR"
"ACTG1","RASA1"
"ACTG1","RC3H1"
"ACTG1","RDX"
"ACTG1","SMARCB1"
"ACTG1","SPIRE1"
"ACTG1","TSGA10"
"ACTL7B","ACTL7A"
"ACVR1B","KCNE3"
"ACVR1B","MSTN"
"ACVR1B","RHOB"
"ACVR1B","SMAD4"
"ACVR1B","SMURF1"
"ACVR1B","TSPAN3"
"ACVR1B","ZDHHC12"
"ACVR2A","CACNG4"
"ACVR2A","CIB2"
"ACVR2A","EDAR"
"ACVR2A","GPRC5B"
"ACVR2A","LEFTY1"
"ADAM10","BTC"
"ADAM10","DNAJB9"
"ADAM10","FBXO2"
"ADAM10","MPPE1"
"ADAM10","NOTCH3"
"ADAM10","SFRP2"
"ADAM10","SPSB4"
"ADAM10","SPTAN1"
"ADAMTS12","CD47"
"ADAMTS12","COIL"
"ADAMTS12","HYAL2"
"ADAMTS12","P4HTM"
"ADAMTS18","SRPK2"
"ADAMTS5","PBK"
"ADCY1","AVP"
"ADCY1","GNGT1"
"ADCY2","GDE1"
"ADCY2","PRKACB"
"ADCY3","ABCA2"
"ADCY3","ADCY6"
"ADCY3","AKAP9"
"ADCY3","ANKMY2"
"ADCY3","CALM2"
"ADCY3","CALML3"
"ADCY3","GNAI3"
"ADCY3","IL17RC"
"ADCY3","KRAS"
"ADCY3","STUB1"
"ADD2","CTAG2"
"ADD2","MME"
"ADD2","ROCK1"
"ADD2","RPH3A"
"ADD2","TRIM67"
"ADD2","VPS33A"
"ADRA1A","ADRA1D"
"ADRA1A","GDE1"
"AFF2","NCK1"
"AFF2","POLR2A"
"AFF2","POLR2K"
"AFF2","SAR1B"
"AFF3","CTR9"
"AFF3","ELL3"
"AFF3","PAF1"
"AGGF1","C1QTNF8"
"AGGF1","SNRPC"
"AGO4","AGK"
"AGO4","CUL9"
"AGO4","DBT"
"AGO4","DICER1"
"AGO4","FKBP5"
"AGO4","KIF14"
"AGO4","PAF1"
"AGO4","SLC25A22"
"AGO4","TNRC6A"
"AGO4","USP34"
"AHCTF1","CIT"
"AHCTF1","LMNB1"
"AHCTF1","MAMDC4"
"AHCTF1","NUP133"
"AHCTF1","NUP155"
"AHCTF1","NUP214"
"AHCTF1","NUP43"
"AHCTF1","SNCA"
"AHCTF1","SNIP1"
"AHCTF1","SUN3"
"AHCTF1","SUZ12"
"AHCTF1","TIPARP"
"AHCTF1","TUBGCP3"
"AHCTF1","VIM"
"AHCTF1","VSIG4"
"AHNAK","ADARB1"
"AHNAK","AHCY"
"AHNAK","ANXA6"
"AHNAK","ARL14"
"AHNAK","AURKB"
"AHNAK","CDK1"
"AHNAK","CFTR"
"AHNAK","CHMP4C"
"AHNAK","CLDN4"
"AHNAK","CNST"
"AHNAK","DCPS"
"AHNAK","DOCK11"
"AHNAK","DYSF"
"AHNAK","FAM136A"
"AHNAK","FBXO43"
"AHNAK","FMR1"
"AHNAK","GBF1"
"AHNAK","GJB7"
"AHNAK","GRPEL1"
"AHNAK","HSPD1"
"AHNAK","KIF20A"
"AHNAK","KIF23"
"AHNAK","LIG4"
"AHNAK","MTA2"
"AHNAK","MYC"
"AHNAK","NOL9"
"AHNAK","NR2C2"
"AHNAK","PDK1"
"AHNAK","PRC1"
"AHNAK","PRPF8"
"AHNAK","RHBDD1"
"AHNAK","RHBDF2"
"AHNAK","RNF38"
"AHNAK","RPA3"
"AHNAK","RUVBL1"
"AHNAK","SDC1"
"AHNAK","SIRT7"
"AHNAK","ST14"
"AHNAK","TUBA1C"
"AHNAK2","NCSTN"
"AHNAK2","NUP43"
"AHNAK2","SPPL3"
"AHNAK2","ZC3HC1"
"AKAP13","PCMT1"
"AKAP13","PRKCH"
"AKAP13","TRIM67"
"AKAP6","CRK"
"AKAP9","FAM114A2"
"AKAP9","HUWE1"
"AKAP9","IMPDH2"
"AKR1D1","AR"
"AKR1D1","GEMIN5"
"AKR1D1","SIRT1"
"AKT1","ACIN1"
"AKT1","AMOTL1"
"AKT1","ARHGAP32"
"AKT1","ARHGDIG"
"AKT1","BAX"
"AKT1","BTRC"
"AKT1","CALB2"
"AKT1","CAMK2D"
"AKT1","CAMKK1"
"AKT1","CASP9"
"AKT1","CCDC88A"
"AKT1","CDK6"
"AKT1","CDKN2A"
"AKT1","CDKN2C"
"AKT1","CEP76"
"AKT1","CTTN"
"AKT1","FGFR4"
"AKT1","FOXN3"
"AKT1","GATA1"
"AKT1","GNAO1"
"AKT1","IGSF8"
"AKT1","IL2"
"AKT1","INTS3"
"AKT1","ITGB7"
"AKT1","LAMB4"
"AKT1","LARP6"
"AKT1","MAPK14"
"AKT1","MATK"
"AKT1","MLH3"
"AKT1","MTCP1"
"AKT1","MYT1"
"AKT1","NEDD4L"
"AKT1","OTUD7B"
"AKT1","PKMYT1"
"AKT1","PLAC8"
"AKT1","PLEKHO1"
"AKT1","POP4"
"AKT1","PPP2R5D"
"AKT1","RICTOR"
"AKT1","SHC1"
"AKT1","SLC9A1"
"AKT1","SMARCB1"
"AKT1","SRRM2"
"AKT1","STAT3"
"AKT1","STK11"
"AKT1","TCL1A"
"AKT1","TERF2IP"
"AKT1","TKT"
"AKT1","TSC2"
"AKT1","UCHL1"
"AKT1","VIM"
"AKT1","XIAP"
"AKT1","YWHAZ"
"AKT1","ZDHHC18"
"AKT2","CASP9"
"AKT2","MAP2K4"
"AKT2","TSC1"
"ALK","ACBD3"
"ALK","ARFGAP3"
"ALK","ATIC"
"ALK","BCAR1"
"ALK","CORO1C"
"ALK","EPHB2"
"ALK","HDLBP"
"ALK","HNRNPD"
"ALK","HSD17B12"
"ALK","HSPH1"
"ALK","IRS4"
"ALK","JAK3"
"ALK","LTK"
"ALK","MAP3K1"
"ALK","MEP1B"
"ALK","MYC"
"ALK","MYLK"
"ALK","NPM1"
"ALK","NRP1"
"ALK","PFKP"
"ALK","PGRMC2"
"ALK","PTPRZ1"
"ALK","RAB35"
"ALK","SOCS1"
"ALK","STAT1"
"ALK","STIM1"
"ALK","SUMO1P1"
"ALK","VAPB"
"ALMS1","CLTA"
"ALMS1","DTNBP1"
"ALMS1","DUSP16"
"ALMS1","IKBKG"
"ALMS1","RNF214"
"ALMS1","TIPARP"
"ALOX12B","CD274"
"ALOX12B","HEY2"
"ALOX12B","OR2A4"
"ALOX12B","RNF115"
"ALOX12B","ST6GALNAC6"
"ALOX12B","ST7"
"ALOX12B","UBE3A"
"AMER1","AP2M1"
"AMER1","ELAVL1"
"AMOTL1","AMOT"
"AMOTL1","AMOTL2"
"AMOTL1","BAG3"
"AMOTL1","LATS2"
"AMOTL1","PRKAA1"
"AMPH","CDK20"
"AMPH","SYNM"
"AMPH","TERF1"
"ANK1","CYLD"
"ANK1","EMD"
"ANK1","EMP1"
"ANK1","NAV1"
"ANK1","NFASC"
"ANK1","TGFBR1"
"ANK1","VCL"
"ANK2","CACNA1B"
"ANK2","KCNJ11"
"ANK2","LARP4"
"ANK2","NAA40"
"ANK2","NUFIP1"
"ANK2","TLN1"
"ANK3","ABR"
"ANK3","ADD1"
"ANK3","ANK2"
"ANK3","CAV1"
"ANK3","CD44"
"ANK3","CNGA3"
"ANK3","DIRAS3"
"ANK3","E2F4"
"ANK3","FGF12"
"ANK3","GLDN"
"ANK3","IMMP1L"
"ANK3","KCNQ3"
"ANK3","MAP1LC3C"
"ANK3","MCM2"
"ANK3","RBPJ"
"ANK3","SCN3A"
"ANK3","SCN8A"
"ANK3","SCN9A"
"ANK3","SPAG9"
