"gene","nint","nsig","z","npos","nneg","posfrac","enriched","canonical","oncogenes","tsgenes","role","type"
"A1CF",42,2,-0.151343596887235,1,1,0.5,0,1,1,0,"OG","WCT"
"A2ML1",104,11,1.86426624032104,6,5,0.545454545454545,0,0,0,0,"unknown","WCT"
"ABCA10",5,1,1.43248281007727,0,1,0,0,0,0,0,"unknown","WCT"
"ABCA13",9,0,-0.666029553515752,0,0,NA,0,0,0,0,"unknown","WCT"
"ABCA7",16,1,0.170638937698356,1,0,1,0,0,0,0,"unknown","WCT"
"ABCB1",60,5,0.659655453661795,0,5,0,0,0,0,0,"unknown","WCT"
"ABCB5",16,0,-0.791640957261252,0,0,NA,0,0,0,0,"unknown","WCT"
"ABCC3",24,3,1.59052811025277,1,2,0.333333333333333,0,0,0,0,"unknown","WCT"
"ABCC5",39,1,-0.556648951636855,0,1,0,0,0,0,0,"unknown","WCT"
"ABCC9",26,3,1.47413645062497,3,0,1,0,0,0,0,"unknown","WCT"
"ABCD1",56,4,0.419408015779909,4,0,1,0,0,0,0,"unknown","WCT"
"ABCF1",179,8,-0.116336817421544,4,4,0.5,0,0,0,0,"unknown","WCT"
"ABCF2",137,10,0.668012466878898,5,5,0.5,0,0,0,0,"unknown","WCT"
"ABCG2",40,0,-0.84160510093693,0,0,NA,0,0,0,0,"unknown","WCT"
"ABCG8",32,2,0.120659949980977,0,2,0,0,0,0,0,"unknown","WCT"
"ABHD15",24,1,-0.212576526604278,1,0,1,0,0,0,0,"unknown","WCT"
"ABI1",245,10,-0.107061467589698,6,4,0.6,0,1,0,1,"TSG","WCT"
"ABI3",79,9,1.53790902822777,6,3,0.666666666666667,0,0,0,0,"unknown","WCT"
"ABL1",229,9,-0.315812768769777,1,8,0.111111111111111,0,1,1,0,"OG","WCT"
"ABL2",127,3,-0.624824999442761,1,2,0.333333333333333,0,1,1,0,"OG","WCT"
"ABLIM2",30,1,-0.363751337866299,0,1,0,0,0,0,0,"unknown","WCT"
"ACAN",39,1,-0.494922889097868,0,1,0,0,0,0,0,"unknown","WCT"
"ACD",109,5,-0.114063210718867,1,4,0.2,0,0,0,0,"unknown","WCT"
"ACE",29,1,-0.276174790270031,1,0,1,0,0,0,0,"unknown","WCT"
"ACKR3",35,3,0.700918799393929,2,1,0.666666666666667,0,1,1,0,"OG","WCT"
"ACO1",47,0,-1.05113576694662,0,0,NA,0,0,0,0,"unknown","WCT"
"ACOXL",5,1,1.58513196641657,0,1,0,0,0,0,0,"unknown","WCT"
"ACSL6",11,1,0.682555750793424,0,1,0,0,0,0,0,"unknown","WCT"
"ACSM1",9,0,-0.6077853116641,0,0,NA,0,0,0,0,"unknown","WCT"
"ACSM2A",2,1,2.69443871706149,1,0,1,0,0,0,0,"unknown","WCT"
"ACSM4",2,0,-0.260177454235197,0,0,NA,0,0,0,0,"unknown","WCT"
"ACTB",985,39,-0.272788426694246,16,23,0.41025641025641,0,0,0,0,"unknown","WCT"
"ACTG1",476,19,-0.239296967199613,8,11,0.421052631578947,0,0,0,0,"unknown","WCT"
"ACTL6B",113,7,0.20889488972187,1,6,0.142857142857143,0,0,0,0,"unknown","WCT"
"ACTL7B",20,0,-0.797138352649404,0,0,NA,0,0,0,0,"unknown","WCT"
"ACVR1",123,11,1.13300390701069,4,7,0.363636363636364,0,1,1,0,"OG","WCT"
"ACVR1B",112,3,-0.727046314734969,3,0,1,0,1,0,1,"TSG","WCT"
"ACVR2A",109,8,0.399316960895667,6,2,0.75,0,1,0,1,"TSG","WCT"
"ACVR2B",124,5,-0.241074681018463,5,0,1,0,0,0,0,"unknown","WCT"
"ADAM10",183,7,-0.238125349463841,6,1,0.857142857142857,0,0,0,0,"unknown","WCT"
"ADAM2",22,1,-0.136793073471551,1,0,1,0,0,0,0,"unknown","WCT"
"ADAM22",39,2,-0.130539909777746,1,1,0.5,0,0,0,0,"unknown","WCT"
"ADAM29",2,0,-0.293405788153095,0,0,NA,0,0,0,0,"unknown","WCT"
"ADAM7",34,0,-1.10150783114542,0,0,NA,0,0,0,0,"unknown","WCT"
"ADAMTS12",33,2,0.440565788294177,0,2,0,0,0,0,0,"unknown","WCT"
"ADAMTS17",19,1,0.0406540845547527,1,0,1,0,0,0,0,"unknown","WCT"
"ADAMTS18",6,0,-0.533790796619103,0,0,NA,0,0,0,0,"unknown","WCT"
"ADAMTS3",5,1,1.74259805071032,1,0,1,0,0,0,0,"unknown","WCT"
"ADAMTS5",3,0,-0.33166247903554,0,0,NA,0,0,0,0,"unknown","WCT"
"ADAMTS6",7,0,-0.491833765096183,0,0,NA,0,0,0,0,"unknown","WCT"
"ADAMTS9",3,1,2.13655396442326,1,0,1,0,0,0,0,"unknown","WCT"
"ADAMTSL3",11,0,-0.682783061772636,0,0,NA,0,0,0,0,"unknown","WCT"
"ADCK1",66,4,0.361977869800202,2,2,0.5,0,0,0,0,"unknown","WCT"
"ADCY1",47,1,-0.632526119460809,1,0,1,0,0,0,0,"unknown","WCT"
"ADCY2",25,3,1.54873839108703,2,1,0.666666666666667,0,0,0,0,"unknown","WCT"
"ADCY3",72,6,1.2699387034718,3,3,0.5,0,0,0,0,"unknown","WCT"
"ADCY5",54,12,4.56284866029858,5,7,0.416666666666667,0,0,0,0,"unknown","WCT"
"ADCY8",40,1,-0.559831341619283,1,0,1,0,0,0,0,"unknown","WCT"
"ADD2",96,3,-0.469363609371453,2,1,0.666666666666667,0,0,0,0,"unknown","WCT"
