"gene","nint","nsig","z","npos","nneg","posfrac","enriched","posstrict","pos","negstrict","neg","allstrict","all","SA","SApos","SAneg","type","DAsign","SAsign","driver","canonical","oncogene","tsgene"
"A1BG",15,1,0.223744571513975,1,0,1,0,0,0,0,1,0,1,0,0,0,"WCT","positive","none",0,0,0,0
"A1CF",14,1,0.244354801840548,1,0,1,0,0,1,1,2,1,3,1,0,1,"WCT","positive","negative",1,1,1,0
"A2M",45,3,0.72658116784732,1,2,0.333333333333333,0,0,4,1,4,1,8,1,0,1,"WCT","mixed","negative",0,0,0,0
"A2ML1",20,0,-0.996462586081355,0,0,0,0,2,2,0,2,2,4,2,2,0,"WCT","negative","positive",1,0,0,0
"A4GALT",3,0,-0.397472689538248,0,0,0,0,0,6,1,5,1,11,1,0,1,"WCT","negative","negative",0,0,0,0
"A4GNT",6,0,-0.495664018648984,0,0,0,0,0,1,0,0,0,1,0,0,0,"WCT","negative","none",0,0,0,0
"AAAS",59,5,1.17017534789774,0,5,0,0,0,6,1,2,1,8,1,0,1,"WCT","negative","negative",0,0,0,0
"AACS",4,0,-0.460477822655819,0,0,0,0,2,8,0,4,2,12,2,2,0,"WCT","negative","positive",0,0,0,0
"AADAT",3,0,-0.450301104081868,0,0,0,0,0,2,0,5,0,7,0,0,0,"WCT","negative","none",0,0,0,0
"AAGAB",9,1,0.789384881803617,0,1,0,0,0,5,1,2,1,7,1,0,1,"WCT","negative","negative",0,0,0,0
"AAK1",25,0,-1.14092536592702,0,0,0,0,2,6,0,3,2,9,2,2,0,"WCT","negative","positive",0,0,0,0
"AAMP",16,1,0,1,0,1,0,2,8,1,1,3,9,3,2,1,"WCT","positive","both",0,0,0,0
"AANAT",5,0,-0.429321159589381,0,0,0,0,0,0,0,0,0,0,0,0,0,"WCT","negative","none",0,0,0,0
"AARS2",39,4,1.69341647167649,1,3,0.25,0,1,6,0,3,1,9,1,1,0,"WCT","mixed","positive",0,0,0,0
"AARSD1",50,4,0.960687955745573,3,1,0.75,0,0,5,1,4,1,9,1,0,1,"WCT","mixed","negative",0,0,0,0
"AASDH",4,0,-0.475863556877079,0,0,0,0,0,4,1,1,1,5,1,0,1,"WCT","negative","negative",0,0,0,0
"AASDHPPT",17,2,1.50649921391496,1,1,0.5,0,1,4,1,2,2,6,2,1,1,"WCT","mixed","both",0,0,0,0
"AASS",12,3,3.45664332055332,1,2,0.333333333333333,0,0,1,1,4,1,5,1,0,1,"WCT","mixed","negative",0,0,0,0
"AATF",100,4,-0.589433366877946,4,0,1,0,2,8,0,3,2,11,2,2,0,"WCT","positive","positive",0,0,0,0
"AATK",42,4,1.48202385885884,2,2,0.5,0,0,3,0,5,0,8,0,0,0,"WCT","mixed","none",0,0,0,0
"ABAT",4,0,-0.512995669535353,0,0,0,0,0,1,4,1,4,2,4,0,2,"WCT","negative","negative",0,0,0,0
"ABCA1",19,2,1.02625118239235,1,1,0.5,0,2,4,1,2,3,6,3,2,1,"WCT","mixed","both",0,0,0,0
"ABCA12",4,1,2.28366551953831,0,1,0,0,2,5,0,2,2,7,2,2,0,"WCT","negative","positive",0,0,0,0
"ABCA13",3,1,3.3741665637606,1,0,1,0,0,0,0,3,0,3,0,0,0,"WCT","positive","none",1,0,0,0
"ABCA2",19,1,0.0623629006996567,0,1,0,0,0,4,1,4,1,8,1,0,1,"WCT","negative","negative",0,0,0,0
"ABCA3",5,0,-0.55171600711733,0,0,0,0,0,5,0,6,0,11,0,0,0,"WCT","negative","none",0,0,0,0
"ABCA6",2,0,-0.349799300402099,0,0,0,0,1,2,0,3,1,5,1,1,0,"WCT","negative","positive",0,0,0,0
"ABCA7",4,1,2.69443871706149,0,1,0,0,1,7,0,4,1,11,1,1,0,"WCT","negative","positive",1,0,0,0
"ABCA9",2,0,-0.312909072914302,0,0,0,0,0,2,1,1,1,3,1,0,1,"WCT","negative","negative",0,0,0,0
"ABCB1",9,2,2.57652347492572,0,2,0,0,0,2,1,2,1,4,1,0,1,"WCT","negative","negative",1,0,0,0
"ABCB10",11,3,2.9373245730883,2,1,0.666666666666667,0,0,5,2,3,2,8,2,0,2,"WCT","mixed","negative",0,0,0,0
